2012.06.16 (168) 10:00:11.000
Station name: Zhong Shan
URSI code: ZS36R
Ionosonde model: DPS-4D
  Freq  Range Pol MPA Amp Doppler    Az    Zn  PGH
 3.450  207.5  90  30  39  -0.781 210.0  30.0  219
 3.450  220.0  90  30  42  -3.906 210.0  30.0  210
 3.450  222.5  90  30  45  -3.906 210.0  30.0  211
 3.450  225.0  90  30  42  -3.906 210.0  30.0  213
 3.450  180.0 -90  30  39   3.906  90.0  30.0  173
 3.450  182.5 -90  30  39   3.906  90.0  30.0  179
 3.450  187.5 -90  30  39   3.906  90.0  30.0  181
 3.450  190.0 -90  30  39   2.344  90.0  30.0  189
 3.450  192.5 -90  30  42   0.781  90.0  30.0  180
 3.500  192.5  90  30  45  -0.781 210.0  30.0  178
 3.500  195.0  90  30  42  -0.781 210.0  30.0  180
 3.500  197.5  90  30  42  -0.781 210.0  30.0  212
 3.500  215.0  90  30  39  -3.906 210.0  30.0  203
 3.500  217.5  90  30  39  -3.906 210.0  30.0  206
 3.500  225.0  90  30  39  -0.781 210.0  30.0  210
 3.550  197.5  90  30  42   0.781 210.0  30.0  212
 3.550  217.5  90  30  42  -2.344 210.0  30.0  205
 3.550  220.0  90  30  42  -2.344 210.0  30.0  206
 3.550  222.5  90  30  42  -2.344 210.0  30.0  237
 3.550  227.5  90  30  39   0.781 210.0  30.0  240
 3.550  252.5  90  30  39   0.781 330.0  30.0  251
 3.550  292.5  90  30  39   5.469  30.0  30.0  286
 3.550  267.5 -90  30  39   0.781  90.0  30.0  266
 3.550  277.5 -90  30  39   0.781  90.0  30.0  276
 3.550  280.0 -90  30  39   0.781  90.0  30.0  278
 3.600  195.0  90  30  39   0.781 270.0  30.0  180
 3.600  207.5  90  30  39  -2.344 210.0  30.0  194
 3.600  210.0  90  30  39  -2.344 210.0  30.0  199
 3.600  212.5  90  30  39  -2.344 210.0  30.0  199
 3.600  257.5  90  30  39   2.344   0.0   0.0  253
 3.600  265.0  90  30  42   2.344   0.0   0.0  262
 3.650  192.5  90  27  36   2.344 210.0  30.0  202
 3.650  197.5  90  27  39   0.781 210.0  30.0  212
 3.650  200.0  90  27  36   0.781 210.0  30.0  213
 3.650  202.5  90  27  39   2.344 270.0  30.0  215
 3.650  205.0  90  27  42   0.781 210.0  30.0  217
 3.650  207.5  90  27  42   0.781 210.0  30.0  220
 3.650  210.0  90  27  39   0.781 210.0  30.0  223
 3.650  212.5  90  27  36  -0.781 210.0  30.0  200
 3.650  215.0  90  27  36  -0.781 210.0  30.0  201
 3.650  217.5  90  27  42  -0.781 210.0  30.0  203
 3.650  220.0  90  27  39   0.781 210.0  30.0  234
 3.650  227.5  90  27  36  -2.344 210.0  30.0  242
 3.650  252.5  90  27  36   0.781   0.0   0.0  251
 3.650  255.0  90  27  36   0.781   0.0   0.0  252
 3.650  257.5  90  27  39   0.781   0.0   0.0  254
 3.650  260.0  90  27  39   0.781   0.0   0.0  257
 3.650  262.5  90  27  39  -0.781   0.0   0.0  263
 3.650  265.0  90  27  36   0.781   0.0   0.0  263
 3.650  267.5  90  27  36   2.344   0.0   0.0  264
 3.650  292.5  90  27  36   3.906  90.0  30.0  287
 3.650  317.5  90  27  36   2.344 150.0  30.0  315
 3.650  197.5 -90  27  36   0.781  30.0  30.0  183
 3.650  255.0 -90  27  36   0.781  90.0  30.0  255
 3.650  257.5 -90  27  39   0.781  90.0  30.0  256
 3.650  260.0 -90  27  39   0.781  90.0  30.0  257
 3.650  262.5 -90  27  36  -0.781  90.0  30.0  262
 3.650  265.0 -90  27  36   0.781  90.0  30.0  265
 3.650  267.5 -90  27  39   0.781  90.0  30.0  265
 3.650  275.0 -90  27  36   3.906  30.0  30.0  269
 3.700  195.0  90  30  42   0.781 210.0  30.0  209
 3.700  197.5  90  30  48   0.781 210.0  30.0  210
 3.700  202.5  90  30  42   2.344 210.0  30.0  215
 3.700  205.0  90  30  42   2.344 210.0  30.0  217
 3.700  250.0  90  30  39   2.344   0.0   0.0  244
 3.700  252.5  90  30  45  -5.469   0.0   0.0  258
 3.700  292.5  90  30  39   3.906  30.0  30.0  288
 3.700  295.0  90  30  39   3.906  30.0  30.0  288
 3.700  252.5 -90  30  39  -5.469  90.0  30.0  258
 3.750  197.5  90  30  45   2.344 210.0  30.0  208
 3.750  200.0  90  30  45   2.344 210.0  30.0  211
 3.750  202.5  90  30  39   2.344 210.0  30.0  214
 3.750  205.0  90  30  39   2.344 210.0  30.0  217
 3.750  207.5  90  30  39   2.344 210.0  30.0  220
 3.750  210.0  90  30  42   3.906 210.0  30.0  220
 3.750  217.5  90  30  42   2.344 210.0  30.0  227
 3.750  222.5  90  30  39  -0.781 210.0  30.0  236
 3.750  232.5  90  30  42   0.781 210.0  30.0  247
 3.750  237.5  90  30  39   2.344 210.0  30.0  248
 3.750  250.0  90  30  42  -3.906   0.0   0.0  255
 3.750  252.5  90  30  45   5.469   0.0   0.0  260
 3.750  255.0  90  30  39  -3.906   0.0   0.0  258
 3.750  257.5  90  30  39  -5.469   0.0   0.0  262
 3.750  262.5  90  30  39  -3.906   0.0   0.0  264
 3.750  290.0  90  30  42   3.906  90.0  30.0  285
 3.750  295.0  90  30  39   5.469  30.0  30.0  288
 3.750  250.0 -90  30  39  -5.469  90.0  30.0  254
 3.750  252.5 -90  30  39   5.469  90.0  30.0  261
